Area code,Area name,All Households,Couple household with dependent children,Couple household without dependent children,Lone parent household,One person household,Other multi person household,% Couple household with dependent children,% Couple household without dependent children,% Lone parent household,% One person household,% Other multi person household
00AA,City of London,4338,262,955,256,2623,242,6.0,22.0,5.9,60.5,5.6
00ABFX,Abbey,4090,968,842,639,1461,180,23.7,20.6,15.6,35.7,4.4
00ABFY,Alibon,3829,884,1091,643,1138,73,23.1,28.5,16.8,29.7,1.9
00ABFZ,Becontree,4298,1018,1066,832,1229,153,23.7,24.8,19.4,28.6,3.6
00ABGA,Chadwell Heath,3991,775,1153,706,1285,72,19.4,28.9,17.7,32.2,1.8
00ABGB,Eastbrook,3991,958,1406,459,1095,73,24.0,35.2,11.5,27.4,1.8
00ABGC,Eastbury,4255,836,1256,721,1319,123,19.6,29.5,16.9,31.0,2.9
00ABGD,Gascoigne,4057,699,823,904,1465,166,17.2,20.3,22.3,36.1,4.1
00ABGE,Goresbrook,4064,951,1214,746,1085,68,23.4,29.9,18.4,26.7,1.7
00ABGF,Heath,4162,817,1038,755,1461,91,19.6,24.9,18.1,35.1,2.2
00ABGG,Longbridge,3474,866,1256,336,923,93,24.9,36.2,9.7,26.6,2.7
00ABGH,Mayesbrook,3852,833,1112,663,1180,64,21.6,28.9,17.2,30.6,1.7
00ABGJ,Parsloes,3769,812,1071,641,1184,61,21.5,28.4,17.0,31.4,1.6
00ABGK,River,3926,1011,1161,674,971,109,25.8,29.6,17.2,24.7,2.8
00ABGL,Thames,3724,675,988,730,1225,106,18.1,26.5,19.6,32.9,2.8
00ABGM,Valence,3706,818,1030,613,1161,84,22.1,27.8,16.5,31.3,2.3
00ABGN,Village,4213,768,1081,799,1465,100,18.2,25.7,19.0,34.8,2.4
00ABGP,Whalebone,3880,978,1228,518,1066,90,25.2,31.6,13.4,27.5,2.3
00ACFX,Brunswick Park,5650,1575,1854,594,1465,162,27.9,32.8,10.5,25.9,2.9
00ACFY,Burnt Oak,5882,1389,1280,1189,1774,250,23.6,21.8,20.2,30.2,4.3
00ACFZ,Childs Hill,6851,1355,1770,773,2204,749,19.8,25.8,11.3,32.2,10.9
00ACGA,Colindale,5711,1161,1276,1048,1940,286,20.3,22.3,18.4,34.0,5.0
00ACGB,Coppetts,6263,1343,1650,775,2176,319,21.4,26.3,12.4,34.7,5.1
00ACGC,East Barnet,6400,1546,1981,682,2004,187,24.2,31.0,10.7,31.3,2.9
00ACGD,East Finchley,6449,1135,1714,744,2315,541,17.6,26.6,11.5,35.9,8.4
00ACGE,Edgware,5534,1582,1740,648,1375,189,28.6,31.4,11.7,24.8,3.4
00ACGF,Finchley Church End,5779,1256,1733,404,1956,430,21.7,30.0,7.0,33.8,7.4
00ACGG,Garden Suburb,6161,1492,1765,383,2102,419,24.2,28.6,6.2,34.1,6.8
00ACGH,Golders Green,5750,1533,1434,608,1675,500,26.7,24.9,10.6,29.1,8.7
00ACGJ,Hale,5955,1637,1833,767,1542,176,27.5,30.8,12.9,25.9,3.0
00ACGK,Hendon,6359,1335,1650,548,2283,543,21.0,25.9,8.6,35.9,8.5
00ACGL,High Barnet,6083,1370,1893,458,2202,160,22.5,31.1,7.5,36.2,2.6
00ACGM,Mill Hill,5897,1521,1831,627,1657,261,25.8,31.0,10.6,28.1,4.4
00ACGN,Oakleigh,5964,1418,2017,531,1798,200,23.8,33.8,8.9,30.1,3.4
00ACGP,Totteridge,5791,1656,1901,391,1661,182,28.6,32.8,6.8,28.7,3.1
00ACGQ,Underhill,6269,1513,1824,992,1800,140,24.1,29.1,15.8,28.7,2.2
00ACGR,West Finchley,6046,1226,1849,481,2002,488,20.3,30.6,8.0,33.1,8.1
00ACGS,West Hendon,5746,1301,1629,684,1739,393,22.6,28.4,11.9,30.3,6.8
00ACGT,Woodhouse,6405,1425,1812,678,2081,409,22.2,28.3,10.6,32.5,6.4
00ADGA,Barnehurst,4213,980,1616,391,1155,71,23.3,38.4,9.3,27.4,1.7
00ADGB,Belvedere,4629,998,1368,607,1558,98,21.6,29.6,13.1,33.7,2.1
00ADGC,Blackfen and Lamorbey,4084,1106,1648,329,936,65,27.1,40.4,8.1,22.9,1.6
00ADGD,Blendon and Penhill,4096,1113,1681,299,949,54,27.2,41.0,7.3,23.2,1.3
00ADGE,Brampton,4156,1060,1740,308,986,62,25.5,41.9,7.4,23.7,1.5
00ADGF,Christchurch,4334,960,1590,406,1271,107,22.2,36.7,9.4,29.3,2.5
00ADGG,Colyers,4334,992,1353,648,1259,82,22.9,31.2,15.0,29.0,1.9
00ADGH,Crayford,4458,972,1355,514,1544,73,21.8,30.4,11.5,34.6,1.6
00ADGJ,Cray Meadows,4417,897,1563,539,1315,103,20.3,35.4,12.2,29.8,2.3
